t,point_id,theta_rad,rho,boundary_lon_idx,boundary_lat_idx
20.0,3,0.0,8.609289631674287,14.36664894455501,5.757359312880723
20.0,4,1.0471975511965974,5.68796210292635,8.6013403643439,10.683278989778099
20.0,5,2.094395102393195,2.094222352962299,4.710248136399574,7.571009071719296
21.0,0,-3.141592653589793,1.3925105577010868,4.152716720823673,5.545227278524759
21.0,1,-2.0943951023931957,2.096516874760929,4.4969688411442945,3.729590405519037
21.0,2,-1.0471975511965979,5.688349569028145,8.389402063038832,0.6189720461401222
21.0,3,0.0,8.607366365009694,14.152593643534454,5.545227278524759
21.0,4,1.0471975511965974,5.688349569028146,8.389402063038833,10.471482510909397
21.0,5,2.094395102393195,2.0965168747609306,4.496968841144295,7.3608641515304845
22.0,0,-3.141592653589793,1.3793808878716254,3.95371435629717,5.3330952441687955
22.0,1,-2.0943951023931957,2.0808303578198926,4.292680065258849,3.5310432933309053
22.0,2,-1.0471975511965979,5.6856810907558435,8.175935789546717,0.40915098175741793
22.0,3,0.0,8.620495398468092,13.953590642636888,5.3330952441687955
22.0,4,1.0471975511965974,5.685681090755845,8.17593578954672,10.257039506580174
22.0,5,2.094395102393195,2.080830357819894,4.29268006525885,7.135147195006688
23.0,0,-3.141592653589793,1.3709660515086235,3.7499971583042084,5.120963209812832
23.0,1,-2.0943951023931957,2.070748222916585,4.085589098354539,3.3276426439255875
23.0,2,-1.0471975511965979,5.68394183528391,7.962934127454787,0.1985251868238196
23.0,3,0.0,8.628909826260774,13.749873036073605,5.120963209812832
23.0,4,1.0471975511965974,5.683941835283911,7.962934127454789,10.043401232801843
23.0,5,2.094395102393195,2.0707482229165857,4.08558909835454,6.914283775700078
24.0,0,-3.141592653589793,1.3877067812256505,3.5211243942312174,4.908831175456868
24.0,1,-2.0943951023931957,2.0907839127057204,3.8634392191040074,3.098159193229888
24.0,2,-1.0471975511965979,5.6873796311999545,7.752520991056844,-0.016584066128464414
24.0,3,0.0,8.61216990881341,13.521001084270278,4.908831175456868
24.0,4,1.0471975511965974,5.687379631199956,7.752520991056848,9.834246417042202
24.0,5,2.094395102393195,2.0907839127057217,3.8634392191040083,6.7195031576838495
25.0,0,-3.141592653589793,1.3950412258138818,3.3016579152870222,4.696699141100904
25.0,1,-2.0943951023931957,2.09953413308754,3.6469320745571334,2.878449245734556
25.0,2,-1.0471975511965979,5.688857586093645,7.541127934147726,-0.22999604696801246
25.0,3,0.0,8.604835819396662,13.301534960497566,4.696699141100904
25.0,4,1.0471975511965974,5.688857586093646,7.541127934147729,9.62339432916982
25.0,5,2.094395102393195,2.099534133087541,3.6469320745571343,6.514949036467254
26.0,0,-3.141592653589793,1.3998704141618028,3.0846966925831376,4.48456710674494
26.0,1,-2.0943951023931957,2.1052863004897713,3.431923956500054,2.661335688281439
26.0,2,-1.0471975511965979,5.689821373634254,7.3294777935620665,-0.44296274581799455
26.0,3,0.0,8.600006864670018,13.084573971414958,4.48456710674494
26.0,4,1.0471975511965974,5.689821373634257,7.32947779356207,9.412096959307876
26.0,5,2.094395102393195,2.105286300489772,3.4319239565000554,6.307798525208443
27.0,0,-3.141592653589793,1.827359884275798,2.4450751881131785,4.272435072388976
27.0,1,-2.0943951023931957,2.5875204398489995,2.9786748524644757,2.0315766386682585
27.0,2,-1.0471975511965979,5.7478145854840665,7.146342365131009,-0.7053183748829488
27.0,3,0.0,8.172537342635705,12.444972415024681,4.272435072388976
27.0,4,1.0471975511965974,5.747814585484068,7.146342365131012,9.250188519660902
27.0,5,2.094395102393195,2.5875204398490013,2.978674852464477,6.513293506109697
28.0,0,-3.141592653589793,1.7744985359234793,2.2858045021095332,4.0603030380330125
28.0,1,-2.0943951023931957,2.5306118684425667,2.7949971038117285,1.868728872843346
28.0,2,-1.0471975511965979,5.7434005660523,6.932003321059162,-0.9136277562782045
28.0,3,0.0,8.225396302796977,12.28569934082999,4.0603030380330125
28.0,4,1.0471975511965974,5.743400566052301,6.932003321059165,9.03423383234423
28.0,5,2.094395102393195,2.530611868442568,2.79499710381173,6.251877203222682
