cell_id,lon_idx,lat_idx,center_lon,center_lat,distribution,n_regimes,wind_speed_1,probability_1,std_1,wind_speed_2,probability_2,std_2
1965,15,39,-94.46765,26.853056,unimodal,1,21.88278956195203,1.0,1.819913351396489,,,
1966,16,39,-94.2832,26.853056,bimodal,2,20.01292226552003,0.4166666666666667,1.258202090125055,21.740096315581567,0.5833333333333334,0.3926822992423156
1967,17,39,-94.09874,26.853056,unimodal,1,20.79355160359064,1.0,0.8666985596280743,,,
1968,18,39,-93.91429,26.853056,unimodal,1,20.053436532604948,1.0,1.1226432591086928,,,
1969,19,39,-93.72983,26.853056,unimodal,1,21.27622191808953,1.0,1.3286704638293434,,,
1970,20,39,-93.545364,26.853056,unimodal,1,19.214405590524137,1.0,1.4820402553276877,,,
1971,21,39,-93.360916,26.853056,unimodal,1,18.476831084548262,1.0,1.115473010296003,,,
1972,22,39,-93.17645,26.853056,unimodal,1,17.969897692994444,1.0,1.0568908493204994,,,
1973,23,39,-92.992004,26.853056,unimodal,1,16.31417888206535,1.0,0.7384818298608515,,,
1974,24,39,-92.80754,26.853056,unimodal,1,16.16728700130113,1.0,0.4363735610260123,,,
1975,25,39,-92.623085,26.853056,unimodal,1,15.272166162373743,1.0,0.3782376009824839,,,
1976,26,39,-92.43863,26.853056,unimodal,1,15.595055669554334,1.0,0.7245921102356975,,,
1977,27,39,-92.254166,26.853056,unimodal,1,14.782666642698436,1.0,0.68266140857297,,,
1978,28,39,-92.06972,26.853056,unimodal,1,14.552880178368888,1.0,0.4262392099811063,,,
1979,29,39,-91.885254,26.853056,unimodal,1,14.097932852960533,1.0,0.4646645929903318,,,
1980,30,39,-91.7008,26.853056,unimodal,1,13.134618202212064,1.0,0.2013765253977892,,,
1981,31,39,-91.51634,26.853056,unimodal,1,12.884893123119038,1.0,0.3710388764767049,,,
1982,32,39,-91.33188,26.853056,unimodal,1,12.735188985622914,1.0,0.3351512105693214,,,
1983,33,39,-91.14743,26.853056,unimodal,1,11.929755811832926,1.0,0.3021000856193834,,,
1984,34,39,-90.96297,26.853056,unimodal,1,11.278773820334829,1.0,0.3478550069194681,,,
1985,35,39,-90.77851,26.853056,unimodal,1,10.934257333290564,1.0,0.242434126449474,,,
1986,36,39,-90.594055,26.853056,unimodal,1,10.12243565292383,1.0,0.3641808006245239,,,
