cell_id,lon_idx,lat_idx,center_lon,center_lat,n_points,mean_speed,std_speed,median_speed,min_speed,max_speed,mean_direction,mean_u,mean_v,mean_temperature,mean_pressure,mean_humidity,mean_height,landmask
1530,30,30,-91.7008,25.343372,36,13.228069460777679,1.212827173990815,13.327377155527149,10.506573722397473,15.144711781769926,324.99840007942026,7.5686783249101115,-10.808550477613062,301.85602,100602.74,0.02219268,0.0,0.0
1531,31,30,-91.51634,25.343372,36,14.710121668199143,2.4529665298634713,13.980767804902058,11.634657020039148,20.459408135924416,313.007820300718,10.653982668369352,-9.937718590462234,301.828,100649.375,0.022002269,0.0,0.0
1532,32,30,-91.33188,25.343372,36,13.25395261791254,1.453400315861808,12.814440364537536,10.92659888324907,17.87162552160422,316.4988450576978,9.04060098928606,-9.526421050148906,302.10828,100681.28,0.02151303,0.0,0.0
1533,33,30,-91.14743,25.343372,36,12.161297522607516,0.4271124297236079,12.190417809432617,11.340198761096945,13.527628309823637,318.0132897505086,8.119543015653639,-9.021873508114702,302.52112,100726.164,0.021738928,0.0,0.0
1534,34,30,-90.96297,25.343372,36,12.359411616176427,0.16511958040889632,12.380896770983322,11.84166290220705,12.63776637608935,313.48173971015933,8.965057792624078,-8.502093651758498,302.46365,100714.28,0.021572901,0.0,0.0
1535,35,30,-90.77851,25.343372,36,11.955727994216709,0.500618856673659,11.97759422484896,11.020283254544335,13.013576580281976,312.6135753710976,8.796105547441236,-8.09228087367535,302.3872,100735.84,0.021309778,0.0,0.0
1536,36,30,-90.594055,25.343372,36,11.035383771975418,0.6217744138706455,10.943690671891238,10.091519320234417,12.180788154235898,315.974133003997,7.667568653377929,-7.932829503264443,302.3878,100764.84,0.020750858,0.0,0.0
1537,37,30,-90.40959,25.343372,30,10.617078639520354,0.3272074603797617,10.632571315102096,9.421050784457623,11.152225640999164,319.73901717351845,6.851866387535767,-8.090606103268309,302.3569,100790.125,0.020741235,0.0,0.0
1538,38,30,-90.22514,25.343372,36,10.493633265800714,0.4882710883213447,10.657307656949442,9.477914287223046,11.125229103814336,317.59597637185095,7.071101452174531,-7.742752155173104,302.25726,100812.73,0.020795487,0.0,0.0
1539,39,30,-90.04068,25.343372,36,10.126621026670795,0.5799648320001546,10.156441536866204,9.027805386916265,11.029796316485902,316.40293054275105,6.974894082804741,-7.325110516455437,302.1719,100815.05,0.020996267,0.0,0.0
1540,40,30,-89.85623,25.343372,36,9.659625092646282,0.20794348120073564,9.701353051174433,9.206886636094739,10.049304028407692,314.3604077946316,6.894765632001737,-6.7425263562208535,302.34055,100831.86,0.021350566,0.0,0.0
1541,41,30,-89.67177,25.343372,36,8.94322631883575,0.35121237538135275,8.89647443483462,8.516757306816816,9.676663168728048,309.2929717169069,6.916387423188202,-5.659580870671956,302.22003,100862.04,0.02093985,0.0,0.0
1542,42,30,-89.487305,25.343372,36,8.799724441980018,0.272874723668065,8.858112462878315,8.034169585376283,9.210962868841888,308.7387198547027,6.862025782240732,-5.505137115011684,302.18286,100891.27,0.0209296,0.0,0.0
1543,43,30,-89.30286,25.343372,36,7.8480521803738945,0.5075121359244231,7.806778625732319,7.089770052670587,9.061939296797894,309.11464140468746,6.065632720986036,-4.931980250146798,302.07874,100907.91,0.021190736,0.0,0.0
1544,44,30,-89.11839,25.343372,36,8.375082045796582,0.32466849605861353,8.329199518168032,7.8192884211950116,9.298787995039149,304.59992666636015,6.882308842994607,-4.747773851284343,302.11084,100917.055,0.02095479,0.0,0.0
1545,45,30,-88.933945,25.343372,36,7.772866932206079,0.12694487063856397,7.792499747026033,7.516957106286676,7.959653948826877,303.7552507942126,6.454544162447853,-4.313644187926584,302.15118,100935.47,0.020633567,0.0,0.0
1546,46,30,-88.74948,25.343372,36,7.345077248294771,0.18733738450679596,7.382174048008265,6.869203117720904,7.679747161878746,301.178519103604,6.281680633952762,-3.801102878280377,302.14508,100961.36,0.020498432,0.0,0.0
1547,47,30,-88.565025,25.343372,36,6.897147079662675,0.1767256803975637,6.889253752035885,6.595415761708577,7.222607043190055,301.07117046525764,5.904636120093556,-3.5578532709906687,302.25244,100976.09,0.019673325,0.0,0.0
1548,48,30,-88.38057,25.343372,36,6.940533325318959,0.14035042269212442,6.949772077099676,6.567161222643352,7.183511519265786,295.59252010849195,6.257742943282127,-2.997203644647227,302.31,100979.54,0.019244999,0.0,0.0
1549,49,30,-88.196106,25.343372,36,6.771034339504828,0.14949748478658084,6.771161917660308,6.474525103942604,7.019937950196573,292.96814835123484,6.232969764093256,-2.6416503295454543,302.1715,100987.41,0.01980329,0.0,0.0
1550,0,31,-97.23451,25.511116,36,9.338960211509702,1.4715079778373519,9.713329234786805,7.186107744036793,11.456989328538008,183.17626918241822,0.5173279298341978,9.322363831330037,302.23096,100476.984,0.019031202,1.4506906,0.0
1551,1,31,-97.050064,25.511116,36,11.981148685166731,0.12976396780054356,11.956375068181078,11.73822737394728,12.248865681490152,181.99728887139386,0.41744397602521094,11.970271062688928,301.4459,100485.66,0.020456828,0.021943755,0.0
1552,2,31,-96.8656,25.511116,36,12.657884186636789,0.33033592289897257,12.698338157026697,12.040102410411235,13.377353249478448,181.37666266541925,0.3037803026099331,12.640699946208242,301.92773,100452.1,0.020050524,4.6031917e-05,0.0
1553,3,31,-96.68114,25.511116,36,13.865109949722193,0.3498079154571921,13.894392531508714,13.145846177964845,14.460004121194546,187.1915417235468,1.7341050562888594,13.743170828988198,302.13306,100425.06,0.020307628,0.0,0.0
1554,4,31,-96.49669,25.511116,36,14.950074200481424,0.35659438451401454,15.022840349053432,14.269255670390502,15.54001604457101,188.85703433850549,2.3005964020523506,14.76372582661786,302.32938,100356.13,0.020872682,0.0,0.0
1555,5,31,-96.312225,25.511116,36,16.7568837772878,1.1347145365879623,16.408886148058887,15.442793861357831,19.28204818968394,193.10883654288276,3.784476920912066,16.25146635194092,302.15833,100271.59,0.02096973,0.0,0.0
1556,6,31,-96.12778,25.511116,36,17.859985635967973,0.9709785656733527,17.67752470915574,16.504963859905875,19.7733281323908,186.24652258889628,1.9375599394326821,17.70166096655342,301.06326,100193.0,0.02135283,0.0,0.0
1557,7,31,-95.94331,25.511116,36,18.46282644560093,0.5584683469594253,18.521679895621133,17.34132081170317,20.22798916524091,186.57266427282593,2.1075274536996025,18.291255974675536,301.51962,100110.57,0.021205626,0.0,0.0
1558,8,31,-95.75886,25.511116,36,21.23870727147565,1.1918482175590546,21.644088328880095,18.69185658815057,23.148413910811765,186.21055741536483,2.2839799327212122,20.98837213838344,301.10175,100004.6,0.021062432,0.0,0.0
1559,9,31,-95.5744,25.511116,36,22.474631177312276,0.8997268793095669,22.67456651821079,19.718412847851468,23.49133412468527,187.84877571648875,3.066963087643938,22.248499688226353,301.22562,99829.0,0.021556584,0.0,0.0
1560,10,31,-95.38994,25.511116,36,23.942499245505317,1.0441587554179466,23.72504131123931,22.47631961192203,26.349283950364754,186.44542591952546,2.681668619730444,23.73770405809394,301.03845,99577.07,0.022229383,0.0,0.0
1561,11,31,-95.20549,25.511116,36,26.459454209342887,1.390028809457951,26.456297511061514,23.98527246762412,29.145045690984553,183.78527470716594,1.7317911371555603,26.175094001429258,300.93793,99215.81,0.0218764,0.0,0.0
1562,12,31,-95.02103,25.511116,30,29.520290967453015,1.5666464860687765,29.46587184322876,26.518226380621616,33.35748140712831,194.7354086917091,7.478274453998826,28.4338843486558,300.85843,98841.32,0.02205494,0.0,0.0
1563,13,31,-94.83657,25.511116,36,37.34757377139961,3.60429886099064,38.05773075351886,30.92009136217895,42.40455603054815,208.50515909192643,17.26400285355834,31.7895113915035,300.70154,98024.7,0.022438189,0.0,0.0
1564,14,31,-94.652115,25.511116,36,39.419145006087966,1.68549672704621,39.234866760993086,35.955402365126524,42.848371661698565,251.6232667539008,36.681822395816184,12.185876256600231,301.1324,97441.49,0.023148159,0.0,0.0
1565,15,31,-94.46765,25.511116,36,40.71251245567956,3.186344911188508,40.83876484568222,34.204279151601895,45.68523632108362,280.0179115649177,39.61210558055498,-6.997452064032719,301.12177,97720.336,0.022530211,0.0,0.0
1566,16,31,-94.2832,25.511116,36,34.294713636428156,3.1069705849337033,33.40510649491903,29.85721909062016,43.069343279956804,299.888594750572,29.475203428074483,-16.941187232523284,301.56104,98570.42,0.022320157,0.0,0.0
1567,17,31,-94.09874,25.511116,36,27.830000928637016,1.8771518135462841,27.53727062796083,25.067701931956954,31.960370635773444,311.4109061127961,20.792004243148718,-18.337652535105743,301.7642,99212.95,0.022309875,0.0,0.0
1568,18,31,-93.91429,25.511116,36,23.206099800592092,1.6537238231173028,23.482290126764294,20.202243581807508,25.590705230465367,317.5598954540779,15.607305391457832,-17.06817230523182,301.20316,99581.74,0.02200147,0.0,0.0
1569,19,31,-93.72983,25.511116,36,22.1108640099587,0.5829961362852257,22.127083433486764,21.026238975120826,23.494845285800658,316.2820902347804,15.270925021168287,-15.970112929338057,302.33954,99778.94,0.022009924,0.0,0.0
1570,20,31,-93.545364,25.511116,36,20.712468374131817,0.345735358562564,20.700129952300472,19.877094950317204,21.418476170169935,321.3393137770599,12.936021353356278,-16.169518751297815,302.33505,99964.97,0.021535555,0.0,0.0
1571,21,31,-93.360916,25.511116,36,19.390989101241942,1.3013728626335415,19.71616100520994,16.43967383958183,21.563646113668472,332.17404872126053,8.99053862010371,-17.033368863088167,301.30453,100088.16,0.02050225,0.0,0.0
1572,22,31,-93.17645,25.511116,36,16.86833307961395,1.0352773464135343,16.879808142402457,14.437560143987701,19.05008645173661,324.3716304634098,9.638296289188562,-13.448556367071248,302.56537,100186.84,0.021417987,0.0,0.0
1573,23,31,-92.992004,25.511116,36,14.706803599593488,1.3604427587656287,15.00801732157835,11.67459226818451,17.078136258089852,318.1501818273204,9.678980320239734,-10.806425631376413,302.1527,100294.1,0.021484787,0.0,0.0
1574,24,31,-92.80754,25.511116,30,16.44180206130034,0.713291954452129,16.595162881478636,14.440313667417971,17.354751849910887,314.41458638614506,11.71001585157195,-11.473136185667322,302.44788,100331.414,0.021609897,0.0,0.0
1575,25,31,-92.623085,25.511116,36,16.09954385325707,0.8882185929980654,16.322735431372376,14.02916065162966,17.261167824276537,322.24228069964204,9.833361952782061,-12.696428912260517,302.46445,100404.65,0.021577153,0.0,0.0
1576,26,31,-92.43863,25.511116,36,16.280006835701343,0.6498460417794115,16.350902868127168,14.211699760418712,17.605321446811878,321.0456859401661,10.215386706887625,-12.635539282290038,302.6632,100428.164,0.02196673,0.0,0.0
1577,27,31,-92.254166,25.511116,36,15.489218902585264,0.8344357217972771,15.806801897686272,13.683393886361811,16.703249474042817,314.0021188430963,11.118518678303934,-10.737823320125862,302.05008,100494.305,0.021774698,0.0,0.0
1578,28,31,-92.06972,25.511116,36,14.994924107429268,0.906087635247433,14.936401521342988,13.60135147125979,16.629873807134604,317.0324390637781,10.193865108716386,-10.94399797684681,301.58176,100525.7,0.02140891,0.0,0.0
1579,29,31,-91.885254,25.511116,36,14.647532012237422,0.5054000559861102,14.75785785472115,13.473077592720003,15.787325879491236,318.77177747566554,9.633767337619659,-10.99363268227885,301.82117,100552.09,0.019741902,0.0,0.0
