cell_id,n_points,distribution,bic_1component,bic_2component,delta_bic,lon_idx,lat_idx,center_lon,center_lat,mean_speed,std_speed
1608.0,36,unimodal,76.02621866445602,86.11271400116226,-10.086495336706236,8,32,-95.75886,25.67886,20.579208530012632,0.6296689825097322
1609.0,36,unimodal,74.29254663885635,83.79227019284083,-9.49972355398448,9,32,-95.5744,25.67886,22.823997413194185,0.6146884035895153
1610.0,36,unimodal,81.65810688281663,86.37068317084896,-4.712576288032338,10,32,-95.38994,25.67886,24.20354731535147,0.6808996417955873
1611.0,36,unimodal,173.02952952539175,182.54328478415079,-9.513755258759033,11,32,-95.20549,25.67886,26.29369597997496,2.422275007080408
1612.0,30,unimodal,95.10931937749604,99.32166832129222,-4.2123489437961865,12,32,-95.02103,25.67886,28.465630944584863,1.0542646858611415
1613.0,36,unimodal,151.63332322676646,151.41513063541734,0.21819259134912272,13,32,-94.83657,25.67886,30.232563782304997,1.7995518329560456
1614.0,36,unimodal,163.23873137180362,167.4331003771304,-4.194369005326763,14,32,-94.652115,25.67886,34.02554951688584,2.114300186053964
1615.0,36,unimodal,148.24074903526574,156.76414309838069,-8.52339406311495,15,32,-94.46765,25.67886,32.13078793651301,1.7167252750264794
1616.0,36,unimodal,137.464076418365,146.8595815283004,-9.395505109935385,16,32,-94.2832,25.67886,28.95080140754333,1.4780779445666528
1617.0,36,unimodal,129.12284147311735,138.91117111086038,-9.788329637743033,17,32,-94.09874,25.67886,25.356689476815983,1.316388592404848
1618.0,36,unimodal,90.37363429299106,100.2219329912329,-9.848298698241848,18,32,-93.91429,25.67886,24.637277354482578,0.7685179487143327
1619.0,36,unimodal,86.1529387668555,83.89128446316217,2.2616543036933336,19,32,-93.72983,25.67886,22.612279025511107,0.7247618709398161
1620.0,36,unimodal,67.9182272192933,73.27594897714346,-5.3577217578501575,20,32,-93.545364,25.67886,20.55185525790756,0.5626080836993205
1621.0,36,unimodal,66.92050286911754,75.70678646710691,-8.786283597989367,21,32,-93.360916,25.67886,18.4472005675519,0.5548656330252671
1622.0,36,unimodal,71.8035479636608,65.11979687716804,6.683751086492762,22,32,-93.17645,25.67886,18.231302932310413,0.5938020724880532
1623.0,36,unimodal,171.2941365121589,179.91810338229556,-8.623966870136655,23,32,-92.992004,25.67886,16.226438952949735,2.3645896642356123
1624.0,30,unimodal,87.02451196783336,87.02106716541361,0.0034448024197502036,24,32,-92.80754,25.67886,16.921093995284096,0.9213610993289716
1625.0,36,unimodal,131.39511373345945,129.27294917550222,2.122164557957234,25,32,-92.623085,25.67886,17.488037253097605,1.3585954506977944
1626.0,36,unimodal,121.22188689162671,113.50417111673185,7.717715774894856,26,32,-92.43863,25.67886,15.83423118930984,1.1795778166988606
1627.0,36,unimodal,40.33437660927891,48.02083941378193,-7.686462804503016,27,32,-92.254166,25.67886,16.65026272509961,0.3835516253942169
